customer_id,order_id,total_price
ATMRJ,5UFA7,11.91
8W0B5,ECBLD,92.90
KNBNP,RH7VD,6.40
Q5IH4,TC65M,341.60
2IJQ0,YATVX,35.44
KK689,U0YFF,5.92
983TY,P98F3,144.97
J8YPW,9KHBR,233.12
PDQKA,K257G,63.56
92GJB,POM4Z,11.10
0W3L0,GC5EV,39.58
GK832,OL13L,33.67
546EJ,XRG4K,67.80
OMVG8,BADG6,5.94
Q9A05,I4069,37.68
474G2,M3BYT,11.36
K119F,BUUFC,45.98
FSSXT,CKHTV,42.80
YEG5I,AXIL9,7.46
ZA9IQ,QEM38,45.55
723LL,YJSSK,25.91
1I35T,2QHZU,8.55
7SNQY,B4AED,97.81
4SEDM,DWISY,21.75
TP9AI,AYKMH,57.06
FW4FG,P7GE0,89.79
9298L,OFR93,13.20
JC6HH,PW94S,52.60
FGBRE,BT8RS,40.59
PRIFU,CMZF2,14.22
NF64B,ANWQC,122.53
83CDB,SZ8PZ,63.40
12JQD,OUNWM,43.96
F8HFE,BKBRZ,14.68
TQU0V,2NBQY,69.57
EDX55,QMOTD,4.64
RUVRX,K24SY,4.95
YHX9I,B41F7,5.09
RRT5Y,AMTY4,10.28
6GC3S,5KGND,68.19
NSY4O,62PNI,3.96
WJKQE,KHWUB,24.97
WARA6,VJPAS,132.24
0KKNU,RBNBP,6.08
EIYQ8,TPTQ6,73.71
UB1BJ,3SYD5,4.95
ZJ1L9,UI9JJ,20.82
IANX5,KLQYG,10.10
5TMQR,VQ1WR,27.81
Q7OEE,TG8Z9,33.12
G2E3G,CKHXP,54.81
25XGP,H9GD5,1.35
FW9QQ,GOFFP,22.68
3GWDD,EGADR,5.08
MA61P,68DTT,127.50
7XSZH,JXKJ7,74.29
OGM62,HFU9Y,76.75
M26UD,P3KVW,91.60
DU5GM,TQX73,122.00
PFQSS,PM8N0,4.08
75CLD,HSXSD,47.46
EAXNR,HKMKX,118.17
TRAN0,RMLWG,13.26
2GXJ7,ERKIE,2.61
RGSVW,0IHSS,114.18
YEZ0K,L3O4K,20.10
X9L36,TYCCJ,13.14
3NNF7,Q756A,105.68
EGCJL,J0N96,4.84
0TOKI,DMYHB,21.85
XT38Z,I7GN4,20.21
O7AB6,TDDUV,216.23
G3QMM,WBTS4,9.42
26LV3,BQPBC,12.08
GUSJG,TPYE5,12.55
Q1QAU,YZVN9,101.00
JGR1Q,72UWS,5.62
H529K,5DDJD,59.74
33QBI,BKXIB,83.17
442J9,ZFD26,182.31
4IOJU,SAOZN,11.70
BRACZ,QQ0OX,6.51
55GU7,536TM,5.10
UEO2V,M2OIA,24.63
JST9C,125PT,87.06
OQWJM,PV57G,66.15
X0N0D,M5Q0J,8.05
LP6GT,RQNAO,50.88
8EF39,NVLON,20.58
86RDZ,DFV5H,13.70
Z9Y8S,NB810,11.27
09UDO,PXTCI,49.70
GL67M,S7PQV,20.55
12JQD,CJQ26,73.34
9ZU8C,EYZL4,20.30
KMD2W,31J8U,31.68
YSM72,VZQY9,33.88
Y86VC,VR8X3,297.00
3SDRH,LV1CZ,41.85
IFH1O,D746A,109.19
9N9ZZ,LZ2CV,27.27
MTKPO,50M0F,82.15
XW3N6,LN1G7,24.85
PS63F,SW00U,19.80
J79RC,3TIMJ,15.55
QZP77,A63YO,96.21
9LNGA,N0QM8,14.76
7MVX1,ED8YQ,134.67
CSW31,FI4V8,41.66
3NRG2,TEVB3,14.11
DM1R0,VCCED,31.74
JVN1X,K43RY,19.47
GIQUG,LKPIF,50.88
15J08,K8GAH,2.23
53FDO,0Z55U,28.30
126DV,VRS9Q,38.72
H2O2Z,U1P0A,4.95
A91V1,15OTA,2.97
E9T78,P3WYP,7.89
4CD2W,3F0OQ,154.76
RQCXT,IXHZG,76.92
01DR9,A6ZLB,149.60
4FEHS,M91Z9,521.28
8CVTK,PWURB,43.82
C5S06,JE2Z2,48.50
U6FGU,ZQ84L,25.04
25ZTM,WRVI7,41.34
T6YDW,9YMXZ,7.04
XVAT2,1X7MZ,99.30
KYNVG,PP9MT,48.81
O139N,YBII7,97.38
NYAW7,5NRQS,40.23
VM8U0,NY81A,0.99
Y5S1L,J3C92,1.98
MHXU7,JV3QT,104.94
YQ9UC,V8KFY,10.76
FGYNW,1VV9Z,46.04
YVQRE,7JCCQ,5.86
CRFG5,U2LUQ,38.70
XQKMB,EOXPO,9.84
3ROM7,TG5S9,21.15
DSTK3,6IWHS,63.38
W35U4,A010Z,10.52
EFXQM,94CZ3,16.34
DSV00,1AWTS,19.70
KY3CK,6698U,73.17
9TBC0,28RHI,27.32
72AVO,VZB17,54.69
1MQ2Y,APFUM,6.10
225AC,ZJZC4,21.21
T0EDD,96R51,96.79
6GNWQ,OH46H,21.93
9LNGA,YK883,37.71
P7GTN,C5FD1,53.46
TGF0O,S42WX,82.40
BRX05,JJCXH,71.10
NLXE6,T98F8,36.52
TUKDI,F2N9X,193.08
MXQDW,AAPXM,7.26
VMSXU,PIP48,106.32
FECS9,JK6TI,10.68
6YGC3,KY5T8,105.48
QJSUP,NYTOM,23.76
HDIZT,T93QF,18.24
4J8OR,660JL,12.08
I4DG5,IN5K2,45.18
PGK5E,JBRGM,10.28
FUFJN,RU7HD,90.95
JAWDY,EI9ZH,46.32
WC9R5,ERS3C,27.73
HZR9U,UJ9XB,6.93
054AW,0YZXJ,4.95
VDCQO,OCG8A,12.25
12WMV,VMQ72,151.23
WZNB4,KJW3O,273.47
2IJQ0,1FMCW,28.20
8GYT9,3W4G2,11.30
4SEDM,1MK11,7.48
X4ORP,1TO64,57.09
N8L9L,92OMO,16.02
IH0LN,RDDI0,227.95
S6IZN,PSOU4,42.16
0XPKD,ZEWDE,109.40
IYPRV,IKGIM,7.83
YGVB3,HO3ZQ,14.36
9RV8N,TPLL2,165.44
ARHUV,BS86S,14.68
YTZHN,1T4W9,64.44
113P1,2F78K,26.11
P5BVW,NMH6I,23.88
YGHX3,JPWG4,22.19
19M5E,R9LJM,92.30
V8GO4,YK1PE,41.26
HMYF3,W7778,21.48
SYJWV,96LGY,4.30
FQ1XM,VWS0Y,35.58
XW63S,36G0U,36.64
PVYGF,6P542,48.70
9S1EY,F8JNA,8.37
0JPK8,8O8FK,9.90
2DAER,KD626,43.43
CZF44,BM5GQ,27.00
H6WXQ,NN8S3,37.04
3NNF7,EUGVO,2.40
U8NCL,SKI93,38.13
IE6W8,DIY7S,50.80
391TA,AXVZD,32.13
F36CZ,CFS25,92.73
BTVTB,Y7TV9,13.68
TWAG1,67F5D,19.36
USOFP,86GUQ,40.20
DB14H,N9NNS,145.80
82B28,Y817H,9.60
1MRW2,613GE,29.20
IP4DN,RDIZU,42.84
G2E3G,SX9L4,16.00
5IIYT,KB5NF,11.36
J00KC,PS07L,7.80
971NU,23OWF,40.80
VBHLB,ZCDLZ,30.08
W56Q1,UZFLM,35.16
O06WP,7MHSQ,10.08
RQ6FT,8WJJ7,98.60
V2M4M,80XDZ,12.34
YSKJW,C2E9D,12.92
M4G8S,KS8YI,61.02
5M8DX,CKNCQ,141.78
6MYJZ,J6BB2,5.58
H2DH5,2FFCU,88.60
4HBVA,1FP3J,51.24
VCLAL,ASZYF,6.60
H9N4P,7RF1Z,99.63
BVUB2,2FC1P,56.91
RA2FG,95LGV,8.34
VI0E0,7DC1L,16.44
P3583,GK47W,114.29
R0ZS0,1KPEM,20.30
LPO97,X5NBT,55.26
H47J8,UBGFQ,45.12
C4FE1,N2BX4,55.92
2G17C,91MC3,42.51
4VVR8,FP7AC,98.06
G4EFF,LNPR9,216.91
CFTUT,A4YEI,91.61
EU4VM,4D7AP,149.58
JZ15D,HAHI4,6.44
T30QJ,FN7YC,106.61
OH66E,6WAXM,12.84
9ZU8C,YAPJU,1.98
A4KEH,QLRLC,5.24
DFFWR,P949R,272.30
XW6IW,K2LG3,24.28
SNZVZ,F2GQK,99.12
96IS5,TF33V,66.90
8Y0Q1,QTAA6,12.50
PSNKL,K0ZXN,11.97
UM2G2,XLD5I,219.00
J6IND,JZ8G7,12.84
W8RJG,IWJCZ,20.40
KVCPU,ZWJJV,43.00
BIWA5,D7JAD,18.12
XIOBY,4MBIH,35.68
JLKPB,I4YRU,13.75
DZ509,A1XYL,92.01
FIZ3O,PHMR5,41.34
S9NAO,LXDSN,46.13
QV3QW,NIH61,51.30
LQ1WV,RVO6K,69.75
SJ6B9,D9507,348.56
YNKRV,V5BNG,83.20
7B962,F2P6V,2.54
NPL0G,S8QM6,62.44
ZVUGI,1MO4P,17.70
Z2TIS,719JR,134.16
9298L,JUVML,41.56
7L6YL,XUTMI,46.89
6NIA4,KBNDW,39.87
4RKFU,WQ7ER,32.72
P0IBQ,1L4HM,25.15
YMYIK,45IQD,6.14
0AOUH,IK57V,93.36
FG1B0,TI044,20.64
CNPV2,IWJC7,19.88
82QSD,F9PLV,43.55
WJAE9,EHC9P,22.20
ZP9PL,NJBK0,346.06
SM366,TNEGZ,106.36
WCDKV,1HJA8,30.24
9DKN7,6D4SW,1.49
TTGHF,2XUM7,74.96
FB7NN,601EI,29.68
1U95U,A3BRA,28.98
SDJ8A,VLYX4,13.02
DW2AJ,NTO5Z,9.24
ZJ2MG,F8AUV,74.11
GN9XI,F0M8F,4.65
3089L,Q20KU,73.16
VGUD2,YV4KJ,80.50
M73C3,8WR89,46.98
NIJSZ,YH1EK,23.22
P7GNB,SRI3E,10.48
DGJ4U,R6VG6,89.60
VH9KR,WLRZP,36.90
QFT7M,UQ8HL,53.44
5M6TO,00V85,59.92
FQ0I1,2D0FO,366.40
53DQU,HK5GZ,61.72
O17D0,ABM0P,34.22
R8HGK,8PZTE,161.72
D9MR7,YDB1X,50.58
SX8CZ,SZDOX,37.95
6EZPU,5B22L,2.76
OTFKR,957UX,267.51
52YCK,HOWGC,23.64
7ONQI,D6QRT,40.00
LDCXZ,PVMY6,16.94
BVAQO,L64HF,50.00
MDG5F,3OS42,46.35
O17D0,CK15R,3.88
NJ1VR,4DW6Y,10.45
XW63S,8I0OJ,49.95
36PFL,1R26V,124.13
ZJ1L9,2AD0B,59.00
58TC9,TJW4X,9.75
40Z8F,8OB0C,87.01
8AFCN,P21IK,10.64
6CFW4,J3DW1,45.61
FCPXJ,9VYS4,2.01
7RVJN,ETKLT,231.90
M7IVG,DWPDV,22.33
NAPZ4,KS6HD,26.25
PZL28,KZZE6,12.99
7ZE3A,7NVS2,36.45
VMSXU,E634D,76.89
1IJBD,O8UHZ,47.82
1RD9W,1HY0J,13.66
QFT7M,WL7J0,29.07
1FGUF,VF60B,21.40
I8LB2,6K1A1,24.85
LHUHG,DBJQM,14.49
XOVBK,HZ9TQ,41.50
K3DKJ,ZKSQN,30.20
CHDSM,MW4O4,4.84
4HVAK,U2Z17,6.93
YSXI6,SPVBB,3.96
KEE02,4630V,40.08
H6WH9,S1DXK,13.11
8YNMD,C8WPL,119.28
58RRY,0YPA9,331.76
3U5KL,O2RHJ,20.55
5TFVD,A2GJO,139.59
53R1S,MRMPR,52.51
KY5SI,3FOXX,35.91
MBZ8A,ROU4T,160.15
4OUWF,TX84X,32.94
735VD,U9JU0,49.80
FY8SE,ZCKHZ,12.62
K9Z5H,843KT,4.37
GY0KK,XXLNP,14.28
52D2G,NQ3T0,29.15
OHKIO,Q4PIP,103.98
KGGZ6,DE9OY,97.96
K3DKJ,3LL8S,97.25
Q0IVN,FI1FY,9.90
KGSUJ,0VT2V,7.77
V40NK,0J3ZK,90.00
ANAHM,6SXZV,35.00
SM0SC,FT02X,30.92
V3EW9,9ZH4D,44.40
44W80,96E3A,21.62
9FUHS,0P1DH,25.80
2UBCO,OHKRO,1.80
XMYZQ,3AOEZ,35.10
SOEPE,NDKAY,82.88
PFAHC,8SUDF,8.60
CE7DZ,42RYV,49.00
0N0OR,PNDTT,21.27
0VH2H,IHS95,2.19
CR90M,CNAZM,8.91
81SL1,V6BXU,18.13
5WPF8,N0W48,6.09
VWLZ7,8F22P,45.63
WJ8LW,1M8PE,11.55
1OSEE,4NKP3,17.52
LWN92,JCNYF,66.81
31OTD,42WEU,58.60
EHDIC,OVHF9,105.46
Z3IVG,9KQRY,71.10
QVRV5,CUJF1,54.40
UHZHG,99G3A,26.60
SA291,F1JOL,37.50
PGX8Q,CGZ0T,55.65
PPECZ,OCHRT,43.89
CVO49,WZD9N,16.80
SNZVZ,JJN6J,59.00
XJLZD,E7N2U,18.06
RUL8A,DH33J,15.40
X84KQ,6FFPY,33.78
S6RH1,L0N6O,65.30
HSGSK,UZ92Q,5.61
XW63S,ITDFG,31.67
RN15P,JEAYE,98.19
ID6IP,GOBYP,111.12
JQ5R4,ZJWKF,44.15
LWJ9M,NTCK4,1.98
0WZ0J,YX8R8,40.40
MJRHO,34217,38.62
DZ6O4,C9IDC,35.76
3OQW6,GTI56,8.68
XL0IZ,2SABY,17.44
UGJ9B,Q4KTG,45.22
43IV1,5EYXI,3.96
AS6Z3,WMX4C,27.31
8UQR4,U3GJ5,37.87
RVYIF,U2JXT,102.72
VMEXG,AFNLE,155.23
TM3DA,G5SYU,67.66
2T4JB,R4I64,48.60
C91KX,WXH4K,65.87
VQ69N,S8MS5,65.12
MTDSY,UL7GV,2.40
QCU4H,R18NU,101.89
KO697,EQZBJ,140.46
QRX7M,CA2OC,3.96
H6WXQ,6EM3M,5.10
UV1TM,WJIEQ,15.30
DC8T4,CFYSL,14.55
SKUNO,K0TXY,15.60
VQ69N,WBQGW,6.93
9MPOY,36KBL,53.97
KYBF4,X85RR,4.95
PKNHM,1D75S,134.25
Q94DA,QPYG9,22.96
HB0R1,QE8JX,23.97
PRQD4,ADOUQ,35.60
0DFE3,70JPK,22.58
VI0E0,ZZHNT,56.07
6M4DC,6BTZ1,142.78
OVHHA,I3VXR,6.28
SZ4HO,L7GYO,2.50
I2C3R,KU1VI,23.85
Z4DX6,FLG84,10.00
L0DFQ,SPSYB,27.60
UU86C,TUIA3,29.07
LPO97,67V6Q,70.72
FZB23,85R4Z,23.73
9M80A,MEN9F,62.25
YIWMN,35C77,7.13
GUSJG,DAOEX,32.58
2GVNX,9NHUW,81.20
UJONB,0HWIP,4.62
XCPVZ,48UZ4,69.77
VC4HH,GT2W9,15.04
E9PIQ,HRB7D,35.72
T0OSU,MXAJ7,10.44
4ZZW9,IXS32,37.08
BK596,NFR4L,39.00
0DDBE,TMP4N,16.77
O4WTK,ANKKK,37.44
WGEPG,BPM38,43.96
OUOJF,5GV6G,125.04
19QFR,ACB14,72.52
TQU0V,ES8CC,0.99
V94D2,U09F6,473.40
80LXS,6DVXU,61.72
YGXF1,ZJZHN,203.73
G2J8Q,E7650,8.41
J9A97,KL3GN,246.63
5IKPN,8T2YE,42.70
Q69AZ,588PY,52.02
CA9WO,RZ4Q6,68.20
EU9PG,NJ47J,154.76
32IN8,04OPR,39.19
EIHL9,MU72N,114.04
EQH3C,RN04A,152.18
M5AL7,2X2DX,19.95
TXQUR,TQMHG,117.90
DOW9Z,KZ0G5,103.64
BWV6H,STZ8A,35.50
I1UNY,SRYKF,31.20
WCD6L,DTIDY,29.34
0W0QF,3FJQE,51.84
0W0QF,HSDTQ,21.21
FEVW3,G2AGY,49.32
2F3UF,027GQ,64.40
58RRY,EYFLU,31.14
IUNGD,9E7VZ,64.31
Q9C83,D0FWY,21.70
0N0OR,9QMA6,75.78
4J7O5,09L64,163.89
G8P5M,41GL2,184.90
J6ZB6,5U267,41.65
C465B,Q8LYQ,3.96
LYKT0,2EE9A,117.83
PZ83Q,0LCXB,61.54
E4SA1,NL3V0,71.50
QVBS0,BJ6JQ,26.16
922YJ,008UL,13.86
K2TLR,V6HHP,17.10
O15SU,4NORW,15.16
QK8J3,4B9RN,29.45
TUCY4,948TB,17.50
050KU,CJAEZ,49.25
IU6Y6,FNIM2,29.54
AM6PM,UBMGE,28.28
HB0R1,PE67Q,40.44
ETDVR,81NVG,33.57
F3IHM,KJPCQ,51.66
M3UCL,S3A2B,18.11
YZMJM,63KE6,46.80
F2GOD,SF7MP,111.69
FI4GH,KOO81,11.06
02C6X,K03NT,28.66
UZR2N,9KITM,207.50
B2Y1Q,5QJ7D,104.93
OBK9B,WF6DT,28.91
WMURN,PRHB5,10.48
M1KHL,ML2H9,98.92
GMPON,XJM3Z,9.70
8AVDV,N2GRU,37.18
SOEPE,BDK07,18.76
ITACP,0SWF4,6.90
920AI,9B7U1,9.52
AGFK1,ACAU6,22.47
XS3NW,028U7,40.00
4O6RC,FNKSZ,5.55
OBZ04,QNE78,55.91
06DA2,OLVZO,13.30
96IS5,AF1K7,183.26
K9Z5H,7KYC4,13.85
EGSSJ,3YBA8,91.80
W8G0P,HC0OR,16.94
ZA38Q,L8Y09,119.70
EDPIC,O1IZX,40.64
B3U9P,79YYX,26.60
DPZ1Y,WA2U5,106.00
8FZE6,BUJ53,6.93
J6ZB6,47BV4,136.03
AYC35,0P8M1,22.68
T1XHZ,RIPBT,354.60
VIU6Y,CP7WG,75.90
UI4D6,OGFEM,96.43
EFXQM,BZOA6,65.28
BZ6AV,PBTO2,39.28
QGRGM,8XNB3,8.91
92KQS,HEO2W,41.65
Z3TDQ,DUJ8D,50.90
BG3XC,VE7RJ,55.30
Z99O5,81YF6,12.98
KM5XU,M1RFH,57.38
D3QCH,A9SGC,28.45
FLAJ4,Q50VU,7.92
4PUZ7,23SVM,65.10
0BEDK,Z95FK,148.80
FL0WJ,VVT9N,38.40
370YT,GFDAX,81.12
8FPQT,WOVS7,25.80
2CZTS,PINA4,32.00
FLS0E,988YJ,27.60
B34UX,KN1KH,31.43
94WVD,36JTV,65.10
6V6E2,CPWDI,21.64
GXNJS,KB6JW,94.14
2QZJE,LC3RL,14.69
IU6Y6,KQSMH,27.44
RUL8A,3Z8M6,47.30
PFSXG,HE2G9,94.00
2OVYA,C6ANK,48.60
IFHTX,VP7J4,3.27
VB48A,NLCSP,20.40
YW4UI,2PAM0,21.49
Y92HB,3S6V5,201.97
IPS0W,LC2YJ,11.73
CFXO7,6GS3T,109.44
SNXG1,BSHJG,112.37
0YGUD,1EQZ2,83.46
9RV8N,F7UUH,178.72
TCUPO,N3TMQ,20.34
9RSQX,08RC7,50.80
7L6YL,A29NJ,36.00
CVB3N,583C8,32.46
7MVX1,4O7U8,10.17
N09SJ,UJA70,33.27
NH2ZF,Q1Z9U,4.24
4MJHN,CS97C,18.50
XCPVZ,2UJJD,62.04
5EH2T,63DAU,73.00
UUG6I,WKQWY,10.88
E5J5A,9LKUZ,45.28
NMWTU,3NHI4,59.50
CJ9UL,1A27M,92.76
SNFD8,IUOKC,35.10
Q7AAU,NGUF3,14.72
VVL74,X9BQG,98.72
QITXX,BGPBC,34.09
QNZJQ,T2B9J,1.98
CAKJ0,8R3GV,19.45
RXMW8,DHYEO,137.57
G5Y7E,NT94U,18.96
F52LT,DA42Y,242.76
6GNWQ,LHTII,141.77
1VLAA,GW9RX,110.80
2CQRK,FYRU9,239.08
482Z7,H4C7D,50.20
WVYOG,EU9PI,42.53
4H3OB,ZC98W,5.85
5USP8,BFTW7,14.50
SQT4B,YKP9F,6.93
UOGAI,Z221I,99.75
DS39Q,T5ZIR,245.20
YFBMO,BAZSE,37.30
W0D0W,OJG6Z,14.20
6CUDG,D4377,205.40
VF7QU,PV89L,26.49
AAU9W,IMKUV,39.90
38TUV,6O917,47.25
FAXWJ,09KF5,65.03
GW9S2,C2DB3,3.96
2OVYA,LASU9,43.18
K9Z5H,B0FM6,163.52
OUT3K,M3NUF,127.88
RRZQK,2YAEG,48.24
K9BV0,2RF97,7.94
5JXC0,XH5L1,126.81
P4GUX,7OYI9,20.42
6U49W,85UNW,62.68
29VDL,1PXDZ,3.22
FPNBQ,D5LXD,36.27
T3JRZ,ZY4YO,64.25
AWCA1,O94MP,133.35
HVVCL,G8QM2,41.59
LL650,UQOIA,10.42
8T1L1,5W9M2,10.55
VEZY7,42EAS,86.84
TTFTF,O4CZO,30.00
0J894,C2ZA2,55.55
O7AB6,WH7GS,47.08
T9K52,VL731,55.35
RUVQL,S77OE,59.49
9DGGH,J7197,1.50
S00SO,GZ209,47.28
0JLQ0,V4JKK,30.90
E7URY,IZPH6,7.92
OGM62,1JZD6,138.72
O2IZP,67BZP,13.20
HTPT6,D0UIC,8.22
5MDLJ,EABSQ,120.50
ZUDRE,OKIEU,17.90
JYP6W,6NTNF,5.76
K28CZ,LKFYA,19.46
LV2OV,7IELR,38.13
9N633,GF2SK,116.28
1RCZU,0V74R,158.54
SYUDX,99JCP,94.40
FOC3C,TW3V4,48.38
FGUIF,TOREC,74.36
V4J45,KVAZ2,23.60
S2OET,GXFFA,6.07
YTEDF,8DLV9,22.44
HKR80,JT6D8,113.49
7VMFA,FS0EH,50.59
EP61A,34Z1J,8.94
WUHBA,M44RG,23.10
16YH6,A95LE,17.16
IKH81,TQB0L,28.80
G8P5M,PWT7C,115.77
3K3ID,ZTAMM,58.53
1EJRD,LJ2KI,4.64
5TMQR,MKFFG,5.26
1CGPG,HN65U,8.64
ZMMI9,KWI4L,9.90
10J4L,PZO6T,43.11
ETDVR,MOD47,48.96
0NOQ8,YC88D,32.76
S12XI,2TEOY,82.95
Z20RE,89V18,6.66
XC77Q,9A9QA,45.20
2TELE,DL4NS,5.74
8UFC3,ZP8A2,34.85
LYT89,YAREU,49.53
JFF7U,5QRLF,24.08
CM10S,A00L1,24.84
AVLMD,TM4S1,16.00
PDMSH,TUWZX,60.21
4HBVA,JCHYX,83.94
L1OZ2,SLRV5,93.33
SE90A,8GIB0,15.50
V3FIM,TPOBA,51.38
JZZJB,MJG7Z,9.90
BVUB2,HK6FA,93.52
13GEP,0TF8V,75.74
UOGAI,KNEER,2.97
BXCKT,Z4R3Q,16.96
LO0DF,CJOLP,239.79
BETW5,HUD1W,27.04
IYPRV,6AOQY,9.62
FQ260,VW9G5,13.14
RNZHO,R4U62,127.05
R47CP,8RVXX,22.40
