shopper_id,order_id,item_id
3CMJ3,HMMJ2,DA9ZS
NJ1VR,WEIQT,59EAZ
75UQU,18MFO,RW98Y
1CGPG,NA5XS,ESIEL
V7XH3,AOKBO,STUZB
R9YLM,IF5N1,LHU5B
R9YLM,IF5N1,A0FY1
KP5NH,HTGL3,MWHR5
7RVJN,QILBA,TVWDB
TAV2I,Z027A,2CCQP
TAV2I,Z027A,PNG6K
TAV2I,Z027A,XCXYK
JCSN0,42215,GYZ6D
VQLN0,XUSXJ,PU4KY
0GW2Q,QAV60,Q30KX
0GW2Q,QAV60,IL5YO
JAWDY,PUXX1,EP6WV
OTJ8K,ARD6R,KVMBA
74XYN,YPH5A,UFLWC
1DZEO,36LO0,XWDCE
P2D9W,0GFP4,P6WN5
VDCQO,Z5219,QN4KP
VDCQO,Z5219,4C81C
VDCQO,Z5219,V37SM
VDCQO,Z5219,2204C
4L1F3,PZN9T,DA9VH
4L1F3,PZN9T,6J26J
1BYHY,UVUJG,TEBMX
1BYHY,UVUJG,3UTQA
1BYHY,UVUJG,KQTT3
SPU5K,PUZEE,CJVRX
5MYL2,9LRKJ,HES3B
5MYL2,9LRKJ,MQAMH
AIX97,P4HVS,MOL9G
UUR4D,6AQBI,J4H1O
UUR4D,6AQBI,O9D1K
UUR4D,6AQBI,PCVFO
ARGSG,T4JTS,2P2VO
O8RUE,QJTLU,DDYDP
VTQY1,5UFA7,OD1NF
0IBLC,ECBLD,ZLN6Y
345P5,RH7VD,174Z1
CNPV2,TC65M,RV4ZA
CNPV2,TC65M,2T3QG
3U2HO,YATVX,M4BRP
RBHAX,U0YFF,46VI2
GUSJG,P98F3,SSSD0
LW5GF,9KHBR,FY4SS
LW5GF,9KHBR,W1BJS
OLLXJ,K257G,QYCTX
CVQII,POM4Z,T027S
49949,GC5EV,WPY24
49949,GC5EV,KTSMI
ECOXA,OL13L,2Q4LK
3729Q,XRG4K,J6A56
KKB92,BADG6,P98SP
HMAL6,I4069,X3P47
EC1CB,M3BYT,EPVGX
TUF4I,BUUFC,XFCJ2
TUF4I,BUUFC,KM9B5
TUF4I,BUUFC,RTF0Z
59IDX,CKHTV,7VMRN
59IDX,CKHTV,LCK4Z
59IDX,CKHTV,BXP76
TUF4I,AXIL9,BWJZU
DHT4W,QEM38,WC6SM
DHT4W,QEM38,9T9OE
5MYL2,YJSSK,ZQ7DD
5MYL2,YJSSK,7BENZ
AVLMD,2QHZU,NDN3H
GO7CC,B4AED,B4WVS
GO7CC,B4AED,V47DH
GO7CC,B4AED,5XENL
23DVK,DWISY,24E9K
5WURH,AYKMH,RXRFO
04H5M,P7GE0,8N62I
04H5M,P7GE0,PPD36
04H5M,P7GE0,X4WYO
C7X9T,OFR93,6RI05
4CD2W,PW94S,O5ZNX
ZZUG5,BT8RS,FI9GI
74XYN,CMZF2,60IA6
ZTMRS,ANWQC,3KPYU
ZTMRS,ANWQC,C43CO
ZTMRS,ANWQC,5TSB9
D9XPV,SZ8PZ,1P310
J6W0N,OUNWM,WH67D
QA55Z,BKBRZ,V3Q8P
YUQSE,2NBQY,D2REF
YUQSE,2NBQY,Z87XC
YUQSE,2NBQY,BEMLZ
IIN44,QMOTD,IZNV0
2KFTE,K24SY,AWHYL
NQ84J,B41F7,Z7IJT
D4ZJJ,AMTY4,3YF2G
FAXWJ,5KGND,PCI7B
FAXWJ,5KGND,3PNOA
LI1MW,62PNI,QPSPP
VLZPH,KHWUB,4VICC
VLZPH,KHWUB,21LNL
ZTMRS,VJPAS,P1WPO
FIVIA,RBNBP,CZ08E
1IVOT,TPTQ6,J8XJF
1IVOT,TPTQ6,TUON6
1IVOT,TPTQ6,NJQQC
1IVOT,TPTQ6,X4NI7
FDB35,3SYD5,L1QM3
E27EG,UI9JJ,JSRHL
OTJ8K,KLQYG,DAUQA
AF94P,VQ1WR,I11UB
AF94P,VQ1WR,VS08F
K119F,TG8Z9,N57NR
K119F,TG8Z9,WBQRT
JXM68,CKHXP,EFPWS
KYDVM,H9GD5,G4MHC
OBK9B,GOFFP,LI0NV
E98WB,EGADR,BC59L
9CS1N,68DTT,E91PG
BCS4T,JXKJ7,9KNDA
BCS4T,JXKJ7,KL2OG
BRACZ,HFU9Y,FRCEX
BRACZ,HFU9Y,KJ5WQ
QXM28,P3KVW,REG0C
QXM28,P3KVW,379P5
QXM28,P3KVW,WBRR0
IZ7H1,TQX73,Z0H08
IZ7H1,TQX73,9AERO
IZ7H1,TQX73,8QIR0
IZ7H1,TQX73,FOF5A
872ZA,PM8N0,IT9EV
R5Z9M,HSXSD,47EXC
R5Z9M,HSXSD,VH37F
ALLL5,HKMKX,JPF5N
ALLL5,HKMKX,0RKA9
ALLL5,HKMKX,8XRD9
LWBDM,RMLWG,A6921
J6W0N,ERKIE,I332T
1RBTZ,0IHSS,HPJSO
PUNDM,L3O4K,OPLWV
D9EVU,TYCCJ,7NB3O
5XRCJ,Q756A,GJGA3
5IIYT,J0N96,TGXK8
2PUAK,DMYHB,TITAR
BECT8,I7GN4,Y1KPX
0Y5OX,TDDUV,6SU2B
0Y5OX,TDDUV,VSKRI
0Y5OX,TDDUV,UNT83
C9KK8,WBTS4,ZFEEV
6U497,BQPBC,IA5AC
FW704,TPYE5,PVKCY
2DAER,YZVN9,LOHFN
2DAER,YZVN9,CQFCR
2DAER,72UWS,Q8JL2
SMBS5,5DDJD,F1Y9Q
SMBS5,5DDJD,SLW9S
YHZ34,BKXIB,KJCUV
YHZ34,BKXIB,O19YO
CBJVC,ZFD26,YGMIX
CBJVC,ZFD26,40OWE
CBJVC,ZFD26,390DB
OTJ8K,SAOZN,3WBF7
CNPV2,QQ0OX,TOBDF
EQS4S,536TM,97KTH
AZJ9T,M2OIA,0NU8Z
GJWYN,125PT,MU17K
U6JMO,PV57G,28P1O
26CVS,M5Q0J,PYWGV
QOXHG,RQNAO,TZCPD
QOXHG,RQNAO,EZ5IB
FXX0B,NVLON,HEIMQ
FXX0B,NVLON,9KOH6
92KQS,DFV5H,J7Y2A
CU0NU,NB810,HHFG5
37JFY,PXTCI,VXGWE
OKNGF,S7PQV,YBT5T
1BYHY,CJQ26,ZNIAS
1BYHY,CJQ26,KOJDM
1TMXQ,EYZL4,V9WOD
SF3PY,31J8U,BAH26
SF3PY,31J8U,82CXB
GXNJS,VZQY9,TLLC3
D53L3,VR8X3,51QL5
N95L4,LV1CZ,KNXID
59IDX,D746A,4IOHE
59IDX,D746A,DI0DG
59IDX,D746A,43EJS
C5XTQ,LZ2CV,VLBOA
C5XTQ,LZ2CV,T0ADH
Y2A63,50M0F,NBDOZ
KB8R8,LN1G7,IYHUC
KB8R8,LN1G7,DNQ25
G80XK,SW00U,820Q9
KB3CZ,3TIMJ,LRP1M
GU88F,A63YO,KFJJE
GU88F,A63YO,JEJYV
GU88F,A63YO,D46I2
8PS1L,N0QM8,VKS8U
1BYHY,ED8YQ,ROTH9
1BYHY,ED8YQ,B0FWU
1BYHY,ED8YQ,4GVYN
1BYHY,ED8YQ,QGYK9
2KFTE,FI4V8,3WYJH
DRV2O,TEVB3,0GZ0C
DRV2O,TEVB3,8EO2X
OVU9W,VCCED,37ERH
B64DW,K43RY,XYLRA
NRW96,LKPIF,LRL3E
NRW96,LKPIF,MYW31
7LRLH,K8GAH,579JB
JJCOW,0Z55U,ZGH7J
0IBLC,VRS9Q,YNJWJ
0IBLC,VRS9Q,HWGC7
TTGHF,U1P0A,TKV5J
FGYNW,15OTA,8K28E
YSKJW,P3WYP,DLZ3N
8CVTK,3F0OQ,MSDWH
8CVTK,3F0OQ,XURSH
8CVTK,3F0OQ,H0KFS
8CVTK,3F0OQ,OUV7L
LWBDM,IXHZG,U8NY7
SQYYD,A6ZLB,6MLCI
3CMJ3,M91Z9,E0GS2
HW29B,PWURB,DF738
UGJ9B,JE2Z2,E88QB
8BLOK,ZQ84L,R3O4P
JCSN0,WRVI7,UQIAH
JCSN0,WRVI7,B0L2M
9R28N,9YMXZ,200YG
RZOPE,1X7MZ,1SBJ4
GUK5T,PP9MT,QAFJF
W90RP,YBII7,D740U
XM645,5NRQS,SNX3J
NQ84J,NY81A,YIH1R
3HXMS,J3C92,V6JQD
BQHN5,JV3QT,KLCM0
3UYX3,V8KFY,E1FBJ
3UYX3,V8KFY,Z6EE5
HC5BE,1VV9Z,EQVT3
HC5BE,1VV9Z,Z8W3C
3KPKZ,7JCCQ,GCCHE
E27EG,U2LUQ,39UWJ
LPT1R,EOXPO,H9XL5
ZHL7U,TG5S9,ZMFGV
ZHL7U,TG5S9,S8M29
1IVOT,6IWHS,NGNQU
1IVOT,6IWHS,N0O3B
EINLV,A010Z,RJNGB
R5Z9M,94CZ3,853UK
7NH4D,1AWTS,WVFVO
5WURH,6698U,5Z7Q8
LWBDM,28RHI,137IP
LWBDM,28RHI,NUWN4
OTJ8K,VZB17,2VQVO
OTJ8K,VZB17,T50AD
OTJ8K,VZB17,ANB8F
OTJ8K,VZB17,40GNW
LYJMG,APFUM,5RT8S
QEEUO,ZJZC4,TDP79
YUFGV,96R51,2170J
YUFGV,96R51,SB2CG
YUFGV,96R51,CGPCA
DHT4W,OH46H,9W6OE
DHT4W,OH46H,503WT
V7XH3,YK883,0KEGH
R9HR3,C5FD1,4OOHH
R9HR3,C5FD1,W1TNO
EBDHF,S42WX,KKQXA
AVLMD,JJCXH,JRCCV
7RVJN,T98F8,A24SX
UI4D6,F2N9X,EFY46
UI4D6,F2N9X,8ATW5
UI4D6,F2N9X,IFCH6
CPQEB,AAPXM,XP8ZO
225AC,PIP48,NTIJJ
EGXWH,JK6TI,N7FZN
F3VXL,KY5T8,D8ZGQ
5IIYT,NYTOM,ZIT0R
BBU3I,T93QF,COTA7
DLM16,660JL,OT9B6
BUIDR,IN5K2,FQOR4
53JXE,JBRGM,WKS7U
04H5M,RU7HD,GY11A
04H5M,RU7HD,090YO
04H5M,RU7HD,FF0E2
04H5M,RU7HD,6FJ7O
F3VXL,EI9ZH,4B8QW
2445R,ERS3C,4MAJX
2445R,ERS3C,BF9RD
2445R,ERS3C,YEEWT
97OQ0,UJ9XB,EHA03
RHSD1,0YZXJ,ZAVA8
NJ1VR,OCG8A,6GRV0
NJ1VR,OCG8A,YLFD5
IRSEU,VMQ72,99F2N
IRSEU,VMQ72,YFQHZ
IIN44,KJW3O,1F4FY
IIN44,KJW3O,RL6LP
IIN44,KJW3O,RMXOI
L9X7F,1FMCW,KBMQZ
L9X7F,1FMCW,QCXWD
3MODL,3W4G2,O8WC8
QMOR0,1MK11,1PKK2
QPU8U,1TO64,N6127
QPU8U,1TO64,3V71U
763SO,92OMO,5XYWV
PJ84C,RDDI0,EPDLK
PJ84C,RDDI0,1N2ES
T39YV,PSOU4,UW4V7
13W4B,ZEWDE,NE30Z
13W4B,ZEWDE,2COHP
13W4B,ZEWDE,M0ME9
13W4B,ZEWDE,O75E0
NQ93S,IKGIM,71D02
CBJVC,HO3ZQ,M0SUG
E7ZIX,TPLL2,NBDQN
E7ZIX,TPLL2,L8XRV
E7ZIX,TPLL2,HMG9I
E7ZIX,TPLL2,526XQ
ROZ39,BS86S,YQ5TM
QXM28,1T4W9,Q6RQN
001PR,2F78K,Y93LH
001PR,2F78K,IXJRT
Y6A6U,NMH6I,SUX6L
Q94DA,JPWG4,U1Q7L
P7GNB,R9LJM,O21RB
HDSGS,YK1PE,NUMC4
HDSGS,YK1PE,IOPVO
QNBDK,W7778,J5DEE
QEEUO,96LGY,MYB90
HOQA8,VWS0Y,60SRF
0GW2Q,36G0U,XYUHP
LDCXZ,6P542,4AW14
LDCXZ,6P542,WD59C
CPR6M,F8JNA,46J17
2L86Q,8O8FK,C6SV1
8D763,KD626,GI9JG
8D763,KD626,HIAI7
ZTN0U,BM5GQ,40UCX
103IX,NN8S3,ATD15
ROZ39,EUGVO,85CG3
Y4QGH,SKI93,3GF62
Y4QGH,SKI93,6IYTN
18CPE,DIY7S,3T8EL
J4V73,AXVZD,45B6H
9TPRV,CFS25,EO2YK
9TPRV,CFS25,PHAI6
K3UZB,Y7TV9,LFSRN
7RVJN,67F5D,7A0EL
TYTXT,86GUQ,YC0J1
TYTXT,86GUQ,CFTW7
V4O3W,N9NNS,J27MD
V4O3W,N9NNS,KX9YW
RP5FU,Y817H,AFW3N
5WURH,613GE,NGXFG
X4DPG,RDIZU,61ID6
AF94P,SX9L4,MI0ZZ
EIYQ8,KB5NF,WD24D
708R1,PS07L,QEA0J
ANJMP,23OWF,2Q1NN
ANJMP,23OWF,WO5GA
YZOY6,ZCDLZ,IOQKL
1ZRV6,UZFLM,22N9N
DVVFS,7MHSQ,2YYG7
DVVFS,7MHSQ,VL77C
BECT8,8WJJ7,HQGQK
BECT8,8WJJ7,T2VGM
BECT8,8WJJ7,XRTNX
TTGHF,80XDZ,258KB
NM40A,C2E9D,U73LM
NM40A,C2E9D,0CEEC
VT1F1,KS8YI,FHBYB
UI4D6,CKNCQ,OCCV1
UI4D6,CKNCQ,H1X1J
JKCG6,J6BB2,1VO4H
5MYL2,2FFCU,MPVR8
5WURH,1FP3J,91P7X
5WURH,1FP3J,SZGY5
O8RUE,ASZYF,W4Z1Y
QWWXZ,7RF1Z,NMTFT
HDSGS,2FC1P,T43CX
DC3E8,95LGV,CMEXB
A2JRQ,7DC1L,SI4RA
KRLJ1,GK47W,ITS7H
KRLJ1,GK47W,WE2GR
KRLJ1,GK47W,5ZAQI
MDGBZ,1KPEM,RDC8I
BD8T1,X5NBT,BI2X2
Y2A63,UBGFQ,CFKB1
C5XTQ,N2BX4,BGNZW
C5XTQ,N2BX4,00JY7
FPP2X,91MC3,2AGXX
FPP2X,91MC3,Q4DZO
FQFAD,FP7AC,PNWBO
FQFAD,FP7AC,951AS
FQFAD,FP7AC,WJA4E
FQFAD,FP7AC,GPBHD
FQFAD,FP7AC,VH6T3
JIKCP,LNPR9,4DTSH
JIKCP,LNPR9,42YFT
JIKCP,LNPR9,KOYZN
920AI,A4YEI,4NH5O
920AI,A4YEI,1HTPU
920AI,A4YEI,7DRIA
QNZJQ,4D7AP,6ILU0
EBDHF,HAHI4,U6MVS
W8G39,FN7YC,DBO73
BD8T1,6WAXM,O41AO
1TMXQ,YAPJU,OE8IY
CS6IM,QLRLC,ENOK4
PCN8U,P949R,YVWA0
J4E5K,K2LG3,SX08N
T7F8L,F2GQK,XMPTB
8O0WG,TF33V,RE410
8O0WG,TF33V,FDLBC
IVAK8,QTAA6,PQXH5
LCPS9,K0ZXN,4DEYU
LCPS9,K0ZXN,LPSF8
HGW3D,XLD5I,NDM6T
28VDN,JZ8G7,6Q011
R47CP,IWJCZ,NCFDE
2L86Q,ZWJJV,UDBFE
MW64Q,D7JAD,A0UC6
R47CP,4MBIH,56S7E
0TFDB,I4YRU,DYCM9
GO7CC,A1XYL,C3VAU
GO7CC,A1XYL,O0WKL
GO7CC,A1XYL,1MRDS
W90RP,PHMR5,8FSWB
W90RP,PHMR5,FUWP3
ZM2RY,LXDSN,U32CK
ORDVS,NIH61,LKZ7G
ORDVS,NIH61,RNGK0
8SJGW,RVO6K,2TOLG
23DVK,D9507,TJUNS
23DVK,D9507,SVKM1
23DVK,D9507,ASVX3
23DVK,D9507,EG35O
0GW2Q,V5BNG,69FU5
Z6X8K,F2P6V,NQC27
RDY6D,S8QM6,3DMTL
33QBI,1MO4P,C1OPI
1GGMN,719JR,L09GT
GQ4X5,JUVML,NGYXD
GQ4X5,JUVML,8UE7H
GQ4X5,JUVML,RW6ZT
MH5MG,XUTMI,MIXIU
7A988,KBNDW,9KWGV
7A988,KBNDW,IWYPO
HKQJE,WQ7ER,Z71V3
EXFCK,1L4HM,PC6YI
BECT8,45IQD,6SQXC
NN4YR,IK57V,M2EZQ
6CZ88,TI044,ZL9D1
71W82,IWJC7,RCZXP
FAXWJ,F9PLV,2LN47
0EF7R,EHC9P,E8WSO
N57J4,NJBK0,Q13HR
N57J4,NJBK0,E07T8
G80XK,TNEGZ,LSG2Z
G80XK,TNEGZ,AYVUL
ZJWLB,1HJA8,5A5R9
K42O4,6D4SW,ZIA5H
A0M32,2XUM7,1GECO
9M2CI,601EI,7IXEC
9M2CI,601EI,NT74R
0JKLY,A3BRA,GASQU
PY1D7,VLYX4,UBINQ
0EZZX,NTO5Z,9LLO2
3C98L,F8AUV,QOQC3
3C98L,F8AUV,XMUFA
LS3PK,F0M8F,JBL0F
708R1,Q20KU,7GRRW
708R1,Q20KU,I1DAS
YFQA9,YV4KJ,V8TL2
YFQA9,YV4KJ,NX8YV
7WK8W,8WR89,81W2P
QRB3N,YH1EK,JXCDI
K6DF8,SRI3E,KPHDN
GMLU5,R6VG6,9MHHK
F3VXL,WLRZP,ZVTHJ
3CI1F,UQ8HL,N5WPQ
3CI1F,UQ8HL,O9KCC
18CPE,00V85,GAOW3
WQVIQ,2D0FO,M2VVG
GIIMF,HK5GZ,E7O1Y
GIIMF,HK5GZ,R87I3
GIIMF,HK5GZ,XG6G0
02C6X,ABM0P,8ML1W
02C6X,ABM0P,UEA9M
B41K6,8PZTE,QZG56
B41K6,8PZTE,8U9MY
XQ4LX,YDB1X,7NCLG
ZMABB,SZDOX,TRIXZ
ZMABB,SZDOX,Q2F6D
4LKTD,5B22L,87YGL
SK4KI,957UX,QYAO7
SK4KI,957UX,SLXOH
4H3OB,HOWGC,H1K85
BECT8,D6QRT,XZZR4
KEE02,PVMY6,HQKPA
S8FF2,L64HF,P67L2
VKCSE,3OS42,TAY3X
VKCSE,3OS42,MGZTL
5IBDJ,CK15R,S9DB2
P7GNB,4DW6Y,HR6AU
XW63S,8I0OJ,L6KEL
HGW3D,1R26V,4FYC8
HGW3D,1R26V,0ZMND
JCSN0,2AD0B,VUB0N
JCSN0,2AD0B,O61C6
53JXE,TJW4X,2HFD7
JKCG6,8OB0C,JSNF9
R5Z9M,P21IK,FIP65
3CMJ3,J3DW1,LDJ9U
3CMJ3,J3DW1,75JGN
RP5FU,9VYS4,L7QPU
1BYHY,ETKLT,ERUMB
KS7CH,DWPDV,MKZPY
LO7O1,KS6HD,6RATZ
QNBDK,KZZE6,WRDZI
2P8UK,7NVS2,3DTRO
Y4QGH,E634D,HB2VP
Y4QGH,E634D,1PXIV
Y4QGH,E634D,RJFQI
Y4QGH,E634D,AGXH8
Y4QGH,E634D,L7BUS
UI4D6,O8UHZ,SS83X
FDB35,1HY0J,NEKAB
AZJ9T,WL7J0,T5EIB
AWCA1,VF60B,NLAYZ
6YJBM,6K1A1,X1TMA
L9X7F,DBJQM,V7CRY
0O0K0,HZ9TQ,23GO2
0O0K0,HZ9TQ,6TLW9
2VTRQ,ZKSQN,NEFRM
U6JMO,MW4O4,GTQ9Z
CS6IM,U2Z17,N29OF
IRSEU,SPVBB,K0FVI
BQMU0,4630V,Z0KXU
0EZZX,S1DXK,DWV2R
83541,C8WPL,PB6KU
83541,C8WPL,LA55A
RBHAX,0YPA9,7V88R
RBHAX,0YPA9,X5UGJ
RBHAX,0YPA9,M0FES
IVAK8,O2RHJ,7BRW5
80LXS,A2GJO,1J76H
NM40A,MRMPR,NX8BS
NM40A,MRMPR,U9XY4
NM40A,MRMPR,W61RN
DSV00,3FOXX,MARK2
5XRCJ,ROU4T,DDGBN
W90RP,TX84X,MKZ70
W90RP,TX84X,SBIEX
KXAQM,U9JU0,NLZZV
920AI,ZCKHZ,UIQOG
YSKJW,843KT,EBTSQ
V3IKV,XXLNP,IJOMX
GVRDR,NQ3T0,XZICC
Z6X8K,Q4PIP,9T45K
Z6X8K,Q4PIP,GCPFZ
MH5MG,DE9OY,24FB2
MH5MG,DE9OY,X2B7B
MH5MG,DE9OY,Z1UYK
