order_id,total_price,time_placed,pickup_time,customer_id,shopper_id,state,license_plate,store_id,time_fulfilled
7JKUZ,79.82,2018-02-24 05:01:20,,G7YNW,DJ9Q8,CA,471 MQN,EHN88,2018-02-24 12:25:53
XDEFQ,7.86,2018-02-24 14:10:28,,ZQR2O,RH155,CT,13CT600,KYN21,2018-02-24 18:52:38
MCN6O,20.60,2018-02-25 06:00:37,,TZ0T4,H47E6,CA,DZO 412,B4268,2018-02-25 08:31:29
92HTK,13.83,2018-02-25 10:11:03,2018-02-25 14:31:57,K8UA4,K85P4,NH,MBR-2131,CUBUY,2018-02-25 14:33:58
ABE91,415.04,2018-02-27 15:41:10,2018-02-27 20:37:20,CFRC5,23DVK,CA,655 ONK,0OENH,2018-02-27 23:12:38
YB79H,146.36,2018-03-01 01:42:03,,TQU0V,KEE02,NJ,8BE H23,TMZ9R,2018-03-01 07:04:29
SFHYT,64.45,2018-03-01 10:30:46,,ETAIG,JVN1X,CA,3VR 240,C6EQ7,2018-03-01 17:41:58
36TVC,8.91,2018-03-01 13:58:01,2018-03-01 19:39:03,5506R,QBG8L,CA,IS 4747,LKTXB,2018-03-01 21:06:54
CZT6Q,12.25,2018-03-02 02:57:31,,91H9E,FDB35,WY,913-WGS,EHN88,2018-03-02 05:44:42
MQH01,12.40,2018-03-02 04:11:25,2018-03-02 09:12:23,0WZH2,D3QCH,CA,7FU1479,MY9U5,2018-03-02 13:40:27
IYKHG,45.20,2018-03-02 11:31:36,2018-03-02 15:53:42,NMQIJ,R5Z9M,MS,LOY 057,3HM75,2018-03-02 16:01:54
AP4HF,158.75,2018-03-02 22:31:59,2018-03-02 22:35:48,HIF6V,53DQU,GA,182 NTB,UAU1O,2018-03-03 01:35:45
G599Q,58.36,2018-03-03 17:40:25,2018-03-03 22:09:56,YTEDF,6YGC3,CA,ZJJ5087,2ED08,2018-03-04 02:32:32
Q15QJ,29.76,2018-03-04 20:02:38,,FX4RA,HR35R,CA,037 CJV,0K71G,2018-03-05 06:03:22
EG51Z,8.33,2018-03-05 04:28:05,2018-03-05 07:48:58,UGJ9B,CHAIU,CA,151-FZFW,1ZTDE,2018-03-05 08:25:39
HYWNZ,239.58,2018-03-05 06:53:41,2018-03-05 10:30:24,RMGGV,EIYQ8,ID,786 YLE,L38HG,2018-03-05 11:39:46
NEWD9,24.78,2018-03-06 13:13:23,,LWN92,V2A0I,CA,544 4PX,JR3IY,2018-03-06 18:26:52
DDGKY,75.96,2018-03-06 16:04:15,,FOC3C,BCS4T,CO,799-ZJCU,WQL1A,2018-03-06 18:13:04
6DKLQ,46.10,2018-03-07 02:41:31,2018-03-07 07:31:44,V4S82,TYTXT,CA,WQC-880,P8OG7,2018-03-07 08:01:04
D0CF2,41.34,2018-03-07 19:30:19,2018-03-07 21:34:54,XAQHA,RSCP9,CA,688 BJR,DV8C3,2018-03-07 22:51:38
T0QAX,5.71,2018-03-07 23:47:06,2018-03-08 01:00:55,NS5H2,FOC3C,AK,AF 0674,WW9OJ,2018-03-08 03:46:17
4WPXA,196.48,2018-03-08 15:49:36,,7WH7M,DFQHP,CA,1Q751,6BT2B,2018-03-08 19:51:03
E9JV8,81.40,2018-03-09 03:26:44,,IFJFZ,LW5GF,CA,0Y 3V5QEB,G9N3Z,2018-03-09 11:53:01
KWR4E,27.52,2018-03-09 04:18:46,,SPS4B,V7ZPX,MN,66-XL72,TBOG4,2018-03-09 08:05:56
C64G3,25.21,2018-03-09 22:12:14,2018-03-10 03:32:07,RXQND,ZUZ1G,CA,2-58399,C7KJY,2018-03-10 06:45:17
H615W,49.19,2018-03-10 02:43:04,,M26UD,E42JX,CA,74-U963,1RMXY,2018-03-10 12:56:35
SW0C5,77.12,2018-03-10 16:21:15,2018-03-10 17:22:37,73X9S,18P8F,MT,PUG-6067,AULSB,2018-03-10 21:58:14
1LND6,4.10,2018-03-11 11:48:21,,F36CZ,H47E6,CA,76DB0,B4268,2018-03-11 16:00:13
JQBX1,20.34,2018-03-11 23:51:24,,XXT85,TWAG1,SC,LUR 925,ZNOFW,2018-03-12 01:01:08
NT8FG,46.84,2018-03-12 00:50:50,,GBWP4,T6YDW,CA,2E 4F3RMV,NBO2D,2018-03-12 06:31:36
2F15W,17.52,2018-03-12 11:49:57,,MO8VN,CYNR7,CA,8DX M77,HI9JV,2018-03-12 20:36:19
1QY7V,10.08,2018-03-12 17:58:06,2018-03-12 21:45:03,QQQBA,TOC4X,CA,146-XIY,48V79,2018-03-13 01:53:26
JYZZN,52.11,2018-03-12 20:11:58,2018-03-12 23:10:26,V2M4M,PNTR7,IL,388-VHT,VF8FD,2018-03-13 04:20:37
XSMJM,20.75,2018-03-13 02:25:27,2018-03-13 05:58:03,M8B06,9YD22,HI,6-84339T,5LHF9,2018-03-13 11:43:20
E0ZHQ,67.92,2018-03-13 18:49:05,,XP17V,QFT7M,SC,920AJU,T5RSD,2018-03-14 03:23:58
PAIWB,42.28,2018-03-14 00:12:10,2018-03-14 03:50:32,00WNZ,QFT7M,IN,0AN E79,T5RSD,2018-03-14 09:40:13
WT1JW,6.38,2018-03-14 01:39:43,,M0XRR,DFQHP,CA,OYA-399,6BT2B,2018-03-14 06:28:14
I4SHF,58.82,2018-03-15 08:31:16,2018-03-15 09:53:19,NBRMN,RH155,NY,783 EIM,KYN21,2018-03-15 13:41:55
IVPDK,76.41,2018-03-15 17:27:05,2018-03-15 21:39:18,PW1LD,ZJWLB,CA,KEF-686,K7GAU,2018-03-15 22:54:27
UYLZV,143.10,2018-03-15 19:43:18,,HSQIL,U1OPI,CA,CIK 710,FCOVT,2018-03-16 03:00:25
3YDKD,21.70,2018-03-15 22:39:21,2018-03-16 00:26:58,RSU9A,SIKQI,CA,4WP 418,VHNP8,2018-03-16 02:02:34
HNXH4,109.40,2018-03-16 16:36:35,2018-03-16 18:17:23,OHKIO,MR3R6,CA,LPU 184,M77DZ,2018-03-16 18:41:15
3SXJO,5.91,2018-03-16 21:23:40,2018-03-17 00:19:30,CFGLH,HR35R,CA,4JN2790,VCL23,2018-03-17 02:55:29
1MD16,227.27,2018-03-18 01:03:31,2018-03-18 02:01:53,RQSBZ,18CPE,DE,547IF,CD9S9,2018-03-18 04:10:37
N860B,11.80,2018-03-18 15:27:59,,19QFR,92KQS,CA,ANX 281,3XUGZ,2018-03-18 22:28:05
D2EQP,32.12,2018-03-18 15:55:19,2018-03-18 19:51:33,AVLQH,B1OU4,CA,Y 971357,WJ3DD,2018-03-19 00:32:18
O712F,75.00,2018-03-19 00:31:33,,GSWLM,Y7N2U,CA,P90-DNG,12XXK,2018-03-19 04:20:26
JS0XB,30.72,2018-03-19 11:15:07,,B8WJY,OTHL0,CA,6C122,FNJXE,2018-03-19 20:30:19
JGKQ4,5.82,2018-03-19 12:22:24,,Z372Y,80RYL,CT,072 OXP,AR4Q8,2018-03-19 18:34:22
YNIXS,62.80,2018-03-19 23:20:06,,Z2TIS,E98WB,CA,IUO 019,P4RIP,2018-03-20 04:28:01
BY0CZ,198.10,2018-03-20 20:12:57,,R9YLM,I5IEP,CA,95O•187,9JYTW,2018-03-21 02:50:49
JTMNH,64.44,2018-03-21 06:03:46,2018-03-21 08:07:19,0HU3M,DVVFS,CA,MWL 783,0OENH,2018-03-21 10:32:41
7BVM3,90.20,2018-03-22 23:02:23,2018-03-23 03:34:04,D0YRV,DHT4W,CA,9H TV316,E0HTC,2018-03-23 09:30:35
51GDC,65.34,2018-03-23 03:14:53,2018-03-23 08:09:32,8JZW4,1RBTZ,CA,LFC 059,78UQA,2018-03-23 09:12:45
UK6NK,10.55,2018-03-23 23:56:09,,CFXO7,AIS2H,CA,HTU2902,SFZ1F,2018-03-24 07:37:27
HCFWC,20.71,2018-03-24 00:28:37,2018-03-24 00:41:51,ZM9TY,WQVIQ,WI,AHA 229,NTEVA,2018-03-24 01:00:54
OLAQT,89.91,2018-03-24 02:46:44,2018-03-24 08:35:35,6PPN0,SM348,CA,X 270696,S4YOY,2018-03-24 10:09:09
D35SR,4.74,2018-03-24 05:50:28,,GA1OS,BQHN5,CA,483-BAM,BWJC0,2018-03-24 12:19:06
4C039,4.71,2018-03-24 12:41:19,2018-03-24 14:29:33,VRU1Z,4H3OB,CA,377-XFH,4AOVR,2018-03-24 15:52:26
PWE4W,144.40,2018-03-25 09:54:57,2018-03-25 15:53:35,6KL6G,DVVFS,CA,8759 IU,0OENH,2018-03-25 17:27:39
8D1V7,46.00,2018-03-25 10:56:00,2018-03-25 15:29:50,C0Y7M,AXDVR,CA,7-81774H,OXPXL,2018-03-25 20:10:10
ZUP55,147.15,2018-03-25 16:23:43,,G341K,7WK8W,CA,475-UGQ,LKTXB,2018-03-25 22:14:09
FZSVU,15.08,2018-03-26 02:10:30,2018-03-26 05:22:37,AUK2M,VDCQO,CA,ZQB 1596,6DT5L,2018-03-26 08:23:32
VWHPO,20.16,2018-03-26 04:58:17,,FKII9,GYNJS,WI,655-VLE,FPQNI,2018-03-26 10:23:08
XEQ5A,28.60,2018-03-26 20:47:37,,7L7YT,BECT8,CA,BNQ-0332,8L32G,2018-03-27 02:37:12
LHQUK,16.14,2018-03-26 21:25:46,2018-03-26 21:52:03,GY0KK,ZMJXU,MA,19N 348,1O3SE,2018-03-27 02:45:21
MXDKI,34.74,2018-03-27 09:14:51,2018-03-27 13:20:18,5H31M,4IT2L,CA,458 QFM,TBOG4,2018-03-27 18:40:23
C89CM,88.52,2018-03-27 10:29:38,,OE4HV,CPQEB,CA,52-6690F,I1LKN,2018-03-27 16:29:25
2AC2G,43.68,2018-03-27 18:45:06,2018-03-27 22:28:20,2DR30,XRCX9,GA,0VP 603,16G9G,2018-03-28 02:49:42
9W0WL,23.28,2018-03-28 18:08:24,2018-03-28 20:39:44,XM4JB,M73C3,DE,45-79660,4WSHA,2018-03-29 01:50:42
SFP3V,17.50,2018-03-29 08:57:29,2018-03-29 10:43:09,QAEOW,8NXJS,ND,215 OLX,LJ7HH,2018-03-29 15:12:22
O7EI7,141.39,2018-03-29 12:48:15,2018-03-29 14:32:41,XSE5T,5IBDJ,CA,765 HAO,HAGUN,2018-03-29 16:44:50
AK6G1,18.80,2018-03-30 15:25:07,2018-03-30 17:57:38,EA882,3S3RA,CA,613G,863SW,2018-03-30 22:20:25
3II21,56.16,2018-03-30 18:55:23,2018-03-30 20:56:11,U5WUX,UFLXY,WI,545-KFI,95P3J,2018-03-31 00:52:28
ZEP36,61.38,2018-03-30 19:42:10,,NL4VD,VIUXI,CA,AUU 386,K9E1M,2018-03-31 03:47:05
I9W31,108.45,2018-03-31 01:45:43,2018-03-31 03:22:16,KNBNP,RSCP9,CA,RMP4559,DV8C3,2018-03-31 08:34:01
ALLEE,18.72,2018-03-31 18:56:55,,KFYOB,KYBF4,CA,A64 1PJ,2Y0J2,2018-03-31 23:52:08
ZVN3H,48.16,2018-03-31 22:37:04,2018-04-01 01:04:28,T9AAN,CHDSM,OK,373RJV,5LHF9,2018-04-01 05:52:32
C0S4N,32.13,2018-04-01 00:57:17,,5XTXC,WQFU4,CA,GNL1062,3WGHH,2018-04-01 01:30:24
LDT47,3.46,2018-04-01 19:08:14,,HS6UU,LDP2V,CA,8EE B65,AMT4C,2018-04-01 22:21:13
77NRQ,4.66,2018-04-01 21:51:24,,15J08,RSCP9,CA,6DQ 314,MY9U5,2018-04-02 06:52:26
6EE24,2.26,2018-04-03 12:00:41,2018-04-03 13:00:01,DM43S,GXNJS,CA,143 ANQ,D3O18,2018-04-03 15:25:33
0QR3T,11.13,2018-04-03 20:33:15,,VIUXI,13W4B,CA,KNJ-630,14VAS,2018-04-04 06:50:17
170Z0,43.59,2018-04-03 22:25:17,,Y9SFQ,EINLV,CA,YLG 450,DV8C3,2018-04-04 08:51:30
OOTTU,13.52,2018-04-04 08:51:11,2018-04-04 13:50:13,6HCGW,MJRBS,CA,0WU D89,WP10Q,2018-04-04 17:48:31
U5XMP,71.04,2018-04-04 14:16:23,,VNF5U,GIIMF,CA,0M H9647,YSYH8,2018-04-04 19:28:31
XM5K5,153.09,2018-04-04 15:50:45,,3AW1V,7BU11,VA,MDU4378,XGW8A,2018-04-04 21:56:15
A8L2K,10.86,2018-04-04 19:06:25,,5TFVD,K3UZB,CA,CLF 810,J3JKM,2018-04-05 00:34:19
TNJE2,70.35,2018-04-05 12:24:24,,XR2HK,V26OY,NV,684 2VW,F5LEJ,2018-04-05 23:22:06
K39RK,3.26,2018-04-05 12:58:00,,LHUHG,DKMZI,CA,8RR O06,2YRRD,2018-04-05 18:36:57
4ROAF,38.80,2018-04-05 13:10:45,2018-04-05 14:31:34,OHZJ1,Z2TIS,CA,968BOD,2K77Q,2018-04-05 18:54:16
SYYLR,5.12,2018-04-05 20:09:29,2018-04-05 21:22:01,4T7M1,W8G39,CA,384 4468,G29KT,2018-04-06 01:23:41
R05XI,30.40,2018-04-05 22:40:08,,JZZJB,IYQ2K,AZ,393CQW,BWJC0,2018-04-06 01:24:06
ETNM7,14.55,2018-04-06 12:20:35,2018-04-06 15:55:56,4C4H5,HAAGO,AZ,469 MYJ,48V79,2018-04-06 17:47:46
W33UK,23.94,2018-04-06 20:27:25,2018-04-07 00:37:35,V7XH3,FGYNW,CA,221-OIU,7ASSJ,2018-04-07 04:10:47
5XMLK,15.48,2018-04-06 23:58:15,2018-04-07 05:35:28,MX4YW,6ZJBP,CA,1X A0440,CTAQ0,2018-04-07 11:19:57
DFVAW,14.55,2018-04-07 03:22:52,,27PAW,AF94P,WV,ZJM 237,I4R4M,2018-04-07 11:19:08
ELY45,7.32,2018-04-07 09:54:51,,HDSR0,103IX,CA,367 6JY,ZNOFW,2018-04-07 13:16:04
J05L9,159.67,2018-04-08 01:48:47,,D0YRV,DJ9Q8,CA,9H TV316,EHN88,2018-04-08 10:06:36
OW4SE,2.68,2018-04-08 13:34:17,,ILP5K,JBJWZ,CA,CF1 8217,NYD1F,2018-04-08 17:01:44
9Z593,91.90,2018-04-08 18:10:04,2018-04-08 20:42:00,GUK5T,LK5C1,CA,29B•304,1RMM5,2018-04-09 00:30:54
OIQ2B,19.58,2018-04-09 10:31:35,2018-04-09 10:34:10,FYWOA,ZM2RY,CA,12V•748,RW80G,2018-04-09 10:59:18
UKNM1,33.98,2018-04-09 19:59:49,2018-04-09 21:57:10,1ZRV6,DVVFS,CA,98-ZQ03,0OENH,2018-04-09 23:55:04
AXUPS,65.87,2018-04-09 23:52:59,2018-04-10 04:34:59,3ROM7,92KQS,CA,7YP0476,3XUGZ,2018-04-10 06:10:29
LUEKD,72.66,2018-04-10 05:41:07,,9WTKY,3MODL,CA,KKD 280,RW80G,2018-04-10 13:17:37
WN5JW,48.88,2018-04-10 06:11:34,2018-04-10 10:18:02,QOCKB,8SJGW,MS,44-80976,ZV68L,2018-04-10 12:04:47
KOOO6,30.18,2018-04-10 10:30:49,,QRX7M,VIUXI,ND,78BZ047,K9E1M,2018-04-10 16:09:44
P95WQ,8.11,2018-04-10 12:33:27,,BYCXN,KB8R8,CA,QZA5454,J30MG,2018-04-10 17:48:31
CEXGA,30.44,2018-04-10 14:49:30,,1G7CH,PYWOH,CA,162 2DV,YLPSD,2018-04-10 21:54:27
D9NLI,65.20,2018-04-10 23:54:29,2018-04-11 04:31:36,R8HGK,K8UA4,CA,0AO2650,K36PR,2018-04-11 09:49:42
98FBM,32.33,2018-04-11 15:38:37,,XSBPD,W8G39,NV,690S,G29KT,2018-04-11 17:17:19
L5W2F,37.04,2018-04-12 01:49:28,,YO3ED,SM9YZ,CA,7Z010,2TM62,2018-04-12 06:25:14
C1OQU,0.99,2018-04-12 07:42:58,2018-04-12 09:54:54,RDMDW,P1S6R,OH,MXP 866,KCNOQ,2018-04-12 11:27:42
XK6KO,40.16,2018-04-12 07:51:13,,PXPRJ,Y5B0M,NC,SWG-306,G9V7E,2018-04-12 10:04:42
RJEA8,96.84,2018-04-12 13:30:48,2018-04-12 13:31:05,W73B2,KUGE3,KS,7GY 696,4SRHC,2018-04-12 17:57:08
PEDQZ,21.92,2018-04-13 09:27:29,2018-04-13 13:13:27,YLGKV,T6YDW,CA,902 ZJD,NBO2D,2018-04-13 16:12:38
B32BY,257.20,2018-04-13 19:06:41,,GWD4M,37JFY,GA,6UR 229,XV82A,2018-04-13 22:47:02
HMMJ2,5.94,2018-04-14 00:07:33,2018-04-14 01:13:01,EQH3C,3CMJ3,MD,5QX M55,YLPSD,2018-04-14 04:26:40
WEIQT,5.94,2018-04-14 03:52:06,2018-04-14 05:25:04,3B9XP,NJ1VR,OH,O95 9XR,36BGX,2018-04-14 07:57:52
18MFO,15.44,2018-04-14 12:56:10,,0V3IU,75UQU,CA,265 MWS,B6UIN,2018-04-14 19:31:39
NA5XS,10.71,2018-04-15 20:17:10,,DMR7G,1CGPG,CA,807-UEA,1HTLD,2018-04-16 05:37:31
AOKBO,125.70,2018-04-15 23:07:02,2018-04-16 04:49:26,12WMV,V7XH3,CA,CDZ 567,3PQ8F,2018-04-16 08:37:06
IF5N1,29.66,2018-04-17 03:03:33,,Z12K3,R9YLM,CA,9951 AH,E2F4D,2018-04-17 11:00:15
HTGL3,76.35,2018-04-17 06:56:57,,316HP,KP5NH,CA,C52-BCK,ES4MT,2018-04-17 13:35:37
QILBA,53.90,2018-04-17 07:07:27,2018-04-17 07:43:10,GGL3Z,7RVJN,NC,EK 72868,ZLYE6,2018-04-17 10:34:04
Z027A,133.83,2018-04-17 10:50:16,,ZA9IQ,TAV2I,CA,KL4 1449,BHDBX,2018-04-17 17:31:57
42215,41.46,2018-04-18 00:40:49,,6M30A,JCSN0,PA,UEJ-0130,PXQ0C,2018-04-18 04:52:25
XUSXJ,5.94,2018-04-18 02:55:11,2018-04-18 06:20:19,ZNMA6,VQLN0,CA,87-4763U,C6EQ7,2018-04-18 06:44:08
QAV60,75.58,2018-04-18 17:44:15,2018-04-18 22:24:57,QAMES,0GW2Q,NY,FEW-387,5ORB8,2018-04-19 03:22:02
PUXX1,18.72,2018-04-18 19:47:54,2018-04-18 20:17:01,8H7NB,JAWDY,CA,1H 4T5JSX,G28Y1,2018-04-18 20:27:15
ARD6R,7.68,2018-04-19 00:21:37,,6AMX3,OTJ8K,CA,61Z•627,2AKCB,2018-04-19 08:00:48
YPH5A,14.36,2018-04-19 10:06:03,2018-04-19 15:33:56,PNG8X,74XYN,SD,XX 7333,0HKZ3,2018-04-19 19:00:22
36LO0,20.40,2018-04-19 10:16:34,2018-04-19 15:55:00,1ZGLT,1DZEO,CA,PBO 928,SZI3N,2018-04-19 18:07:03
0GFP4,36.06,2018-04-20 01:23:59,2018-04-20 04:41:45,FCTI1,P2D9W,WA,556-BNU,VDV4X,2018-04-20 08:57:11
Z5219,81.38,2018-04-20 05:22:12,,P24HF,VDCQO,CA,6H226,6DT5L,2018-04-20 13:42:40
PZN9T,25.52,2018-04-20 10:49:58,2018-04-20 16:21:30,IZ7H1,4L1F3,CA,M 401272,JESAR,2018-04-20 21:33:29
UVUJG,146.74,2018-04-20 14:52:52,2018-04-20 19:06:13,0GNDT,1BYHY,CA,IZA 906,17KE2,2018-04-21 00:57:48
PUZEE,4.95,2018-04-21 07:20:37,,Q6HWG,SPU5K,CA,SXY5693,SCPDY,2018-04-21 12:52:25
9LRKJ,260.50,2018-04-21 10:01:06,2018-04-21 15:58:05,8CTKG,5MYL2,CA,053 6VX,7IEJT,2018-04-21 18:11:41
P4HVS,280.08,2018-04-21 13:39:06,,WZXFL,AIX97,OH,A09-85Q,OO0E6,2018-04-21 18:54:40
6AQBI,244.04,2018-04-21 14:50:51,2018-04-21 18:03:11,FW9QQ,UUR4D,AK,2-1733F,BSSBT,2018-04-21 18:48:55
T4JTS,18.96,2018-04-22 06:57:46,,1TMXQ,ARGSG,CA,925 NDD,GVFVV,2018-04-22 09:43:42
QJTLU,25.76,2018-04-22 07:08:34,,KMSQY,O8RUE,OK,RLT 8898,N5V0S,2018-04-22 11:57:57
5UFA7,11.91,2018-04-22 07:55:38,,ATMRJ,VTQY1,CA,9TX47,WG5N0,2018-04-22 09:31:08
ECBLD,92.90,2018-04-22 12:32:41,,8W0B5,0IBLC,CA,392-LRM,SCPDY,2018-04-22 22:04:33
RH7VD,6.40,2018-04-22 15:46:04,,KNBNP,345P5,CA,RMP4559,S1F36,2018-04-22 20:31:28
TC65M,341.60,2018-04-23 09:57:37,2018-04-23 13:28:51,Q5IH4,CNPV2,CA,014 OSY,TG6R5,2018-04-23 15:32:48
YATVX,35.44,2018-04-23 18:17:19,2018-04-23 21:09:34,2IJQ0,3U2HO,GA,857 RFA,1U31K,2018-04-23 22:24:47
U0YFF,5.92,2018-04-24 00:29:32,,KK689,RBHAX,CA,753-KYF,ZDSRP,2018-04-24 11:09:44
P98F3,144.97,2018-04-24 06:48:28,2018-04-24 10:10:27,983TY,GUSJG,CA,VNJ9579,JR3IY,2018-04-24 14:38:16
9KHBR,233.12,2018-04-24 14:31:56,,J8YPW,LW5GF,KS,5-12745M,G9N3Z,2018-04-24 23:11:33
K257G,63.56,2018-04-25 01:44:56,2018-04-25 05:42:29,PDQKA,OLLXJ,CA,8MKB 34,TDP0A,2018-04-25 09:07:16
POM4Z,11.10,2018-04-25 07:40:42,,92GJB,CVQII,CA,73-A193,D4HJY,2018-04-25 13:19:25
GC5EV,39.58,2018-04-25 09:14:19,,0W3L0,49949,CA,3O E8872,CTAQ0,2018-04-25 15:14:04
