customer_id,order_id,total_price,time_placed
LHUHG,K39RK,3.26,2018-04-05 12:58:00
OHZJ1,4ROAF,38.80,2018-04-05 13:10:45
4T7M1,SYYLR,5.12,2018-04-05 20:09:29
JZZJB,R05XI,30.40,2018-04-05 22:40:08
4C4H5,ETNM7,14.55,2018-04-06 12:20:35
V7XH3,W33UK,23.94,2018-04-06 20:27:25
MX4YW,5XMLK,15.48,2018-04-06 23:58:15
27PAW,DFVAW,14.55,2018-04-07 03:22:52
HDSR0,ELY45,7.32,2018-04-07 09:54:51
D0YRV,J05L9,159.67,2018-04-08 01:48:47
ILP5K,OW4SE,2.68,2018-04-08 13:34:17
GUK5T,9Z593,91.90,2018-04-08 18:10:04
FYWOA,OIQ2B,19.58,2018-04-09 10:31:35
1ZRV6,UKNM1,33.98,2018-04-09 19:59:49
3ROM7,AXUPS,65.87,2018-04-09 23:52:59
9WTKY,LUEKD,72.66,2018-04-10 05:41:07
QOCKB,WN5JW,48.88,2018-04-10 06:11:34
QRX7M,KOOO6,30.18,2018-04-10 10:30:49
BYCXN,P95WQ,8.11,2018-04-10 12:33:27
1G7CH,CEXGA,30.44,2018-04-10 14:49:30
R8HGK,D9NLI,65.20,2018-04-10 23:54:29
XSBPD,98FBM,32.33,2018-04-11 15:38:37
YO3ED,L5W2F,37.04,2018-04-12 01:49:28
RDMDW,C1OQU,0.99,2018-04-12 07:42:58
PXPRJ,XK6KO,40.16,2018-04-12 07:51:13
W73B2,RJEA8,96.84,2018-04-12 13:30:48
YLGKV,PEDQZ,21.92,2018-04-13 09:27:29
GWD4M,B32BY,257.20,2018-04-13 19:06:41
EQH3C,HMMJ2,5.94,2018-04-14 00:07:33
3B9XP,WEIQT,5.94,2018-04-14 03:52:06
0V3IU,18MFO,15.44,2018-04-14 12:56:10
DMR7G,NA5XS,10.71,2018-04-15 20:17:10
12WMV,AOKBO,125.70,2018-04-15 23:07:02
Z12K3,IF5N1,29.66,2018-04-17 03:03:33
316HP,HTGL3,76.35,2018-04-17 06:56:57
GGL3Z,QILBA,53.90,2018-04-17 07:07:27
ZA9IQ,Z027A,133.83,2018-04-17 10:50:16
6M30A,42215,41.46,2018-04-18 00:40:49
ZNMA6,XUSXJ,5.94,2018-04-18 02:55:11
QAMES,QAV60,75.58,2018-04-18 17:44:15
8H7NB,PUXX1,18.72,2018-04-18 19:47:54
6AMX3,ARD6R,7.68,2018-04-19 00:21:37
PNG8X,YPH5A,14.36,2018-04-19 10:06:03
1ZGLT,36LO0,20.40,2018-04-19 10:16:34
FCTI1,0GFP4,36.06,2018-04-20 01:23:59
P24HF,Z5219,81.38,2018-04-20 05:22:12
IZ7H1,PZN9T,25.52,2018-04-20 10:49:58
0GNDT,UVUJG,146.74,2018-04-20 14:52:52
Q6HWG,PUZEE,4.95,2018-04-21 07:20:37
8CTKG,9LRKJ,260.50,2018-04-21 10:01:06
WZXFL,P4HVS,280.08,2018-04-21 13:39:06
FW9QQ,6AQBI,244.04,2018-04-21 14:50:51
1TMXQ,T4JTS,18.96,2018-04-22 06:57:46
KMSQY,QJTLU,25.76,2018-04-22 07:08:34
ATMRJ,5UFA7,11.91,2018-04-22 07:55:38
8W0B5,ECBLD,92.90,2018-04-22 12:32:41
KNBNP,RH7VD,6.40,2018-04-22 15:46:04
Q5IH4,TC65M,341.60,2018-04-23 09:57:37
2IJQ0,YATVX,35.44,2018-04-23 18:17:19
KK689,U0YFF,5.92,2018-04-24 00:29:32
983TY,P98F3,144.97,2018-04-24 06:48:28
J8YPW,9KHBR,233.12,2018-04-24 14:31:56
PDQKA,K257G,63.56,2018-04-25 01:44:56
92GJB,POM4Z,11.10,2018-04-25 07:40:42
0W3L0,GC5EV,39.58,2018-04-25 09:14:19
GK832,OL13L,33.67,2018-04-26 03:54:27
546EJ,XRG4K,67.80,2018-04-26 10:01:08
OMVG8,BADG6,5.94,2018-04-26 13:57:51
Q9A05,I4069,37.68,2018-04-27 06:56:34
474G2,M3BYT,11.36,2018-04-27 18:22:08
K119F,BUUFC,45.98,2018-04-28 00:21:15
FSSXT,CKHTV,42.80,2018-04-28 09:41:35
YEG5I,AXIL9,7.46,2018-04-28 17:47:58
ZA9IQ,QEM38,45.55,2018-04-28 18:27:18
723LL,YJSSK,25.91,2018-04-28 20:40:19
1I35T,2QHZU,8.55,2018-04-29 00:04:10
7SNQY,B4AED,97.81,2018-04-29 05:16:55
4SEDM,DWISY,21.75,2018-04-29 10:29:47
TP9AI,AYKMH,57.06,2018-04-29 13:29:10
FW4FG,P7GE0,89.79,2018-04-29 15:47:06
9298L,OFR93,13.20,2018-04-29 16:17:33
JC6HH,PW94S,52.60,2018-04-30 00:25:20
FGBRE,BT8RS,40.59,2018-04-30 03:51:30
PRIFU,CMZF2,14.22,2018-04-30 05:37:41
NF64B,ANWQC,122.53,2018-04-30 11:17:46
83CDB,SZ8PZ,63.40,2018-04-30 16:18:50
12JQD,OUNWM,43.96,2018-04-30 18:29:02
F8HFE,BKBRZ,14.68,2018-05-01 03:11:46
TQU0V,2NBQY,69.57,2018-05-01 13:26:11
EDX55,QMOTD,4.64,2018-05-02 16:12:33
RUVRX,K24SY,4.95,2018-05-02 20:52:14
YHX9I,B41F7,5.09,2018-05-03 00:16:38
RRT5Y,AMTY4,10.28,2018-05-03 03:27:03
6GC3S,5KGND,68.19,2018-05-03 09:46:05
NSY4O,62PNI,3.96,2018-05-03 20:16:48
WJKQE,KHWUB,24.97,2018-05-03 22:26:50
WARA6,VJPAS,132.24,2018-05-05 05:32:01
0KKNU,RBNBP,6.08,2018-05-05 08:05:34
EIYQ8,TPTQ6,73.71,2018-05-05 09:57:12
UB1BJ,3SYD5,4.95,2018-05-05 14:08:53
ZJ1L9,UI9JJ,20.82,2018-05-05 14:43:14
IANX5,KLQYG,10.10,2018-05-05 14:45:56
5TMQR,VQ1WR,27.81,2018-05-06 02:12:39
Q7OEE,TG8Z9,33.12,2018-05-06 09:46:49
G2E3G,CKHXP,54.81,2018-05-06 12:00:50
25XGP,H9GD5,1.35,2018-05-06 19:40:19
FW9QQ,GOFFP,22.68,2018-05-07 01:22:23
3GWDD,EGADR,5.08,2018-05-07 04:10:36
MA61P,68DTT,127.50,2018-05-07 19:16:18
7XSZH,JXKJ7,74.29,2018-05-08 01:08:26
OGM62,HFU9Y,76.75,2018-05-08 01:22:35
M26UD,P3KVW,91.60,2018-05-08 06:54:16
DU5GM,TQX73,122.00,2018-05-08 09:45:11
PFQSS,PM8N0,4.08,2018-05-08 11:53:27
75CLD,HSXSD,47.46,2018-05-09 06:51:15
EAXNR,HKMKX,118.17,2018-05-09 09:05:12
TRAN0,RMLWG,13.26,2018-05-09 11:23:18
2GXJ7,ERKIE,2.61,2018-05-09 14:53:15
RGSVW,0IHSS,114.18,2018-05-10 07:56:39
YEZ0K,L3O4K,20.10,2018-05-11 09:35:58
X9L36,TYCCJ,13.14,2018-05-11 11:42:47
3NNF7,Q756A,105.68,2018-05-11 23:55:57
EGCJL,J0N96,4.84,2018-05-12 00:50:47
0TOKI,DMYHB,21.85,2018-05-12 05:09:36
XT38Z,I7GN4,20.21,2018-05-12 05:54:56
O7AB6,TDDUV,216.23,2018-05-12 11:00:53
G3QMM,WBTS4,9.42,2018-05-12 21:07:55
26LV3,BQPBC,12.08,2018-05-13 05:28:19
GUSJG,TPYE5,12.55,2018-05-13 15:14:27
Q1QAU,YZVN9,101.00,2018-05-13 16:21:46
JGR1Q,72UWS,5.62,2018-05-13 16:38:23
H529K,5DDJD,59.74,2018-05-14 01:52:01
33QBI,BKXIB,83.17,2018-05-14 12:06:09
442J9,ZFD26,182.31,2018-05-14 15:45:21
4IOJU,SAOZN,11.70,2018-05-14 16:59:57
BRACZ,QQ0OX,6.51,2018-05-14 20:11:04
55GU7,536TM,5.10,2018-05-14 22:31:48
UEO2V,M2OIA,24.63,2018-05-15 03:53:44
JST9C,125PT,87.06,2018-05-15 12:35:26
OQWJM,PV57G,66.15,2018-05-15 12:55:23
X0N0D,M5Q0J,8.05,2018-05-15 13:14:48
LP6GT,RQNAO,50.88,2018-05-16 00:19:59
8EF39,NVLON,20.58,2018-05-16 04:50:03
86RDZ,DFV5H,13.70,2018-05-16 08:50:21
Z9Y8S,NB810,11.27,2018-05-16 12:34:06
09UDO,PXTCI,49.70,2018-05-17 04:47:35
GL67M,S7PQV,20.55,2018-05-17 07:27:09
12JQD,CJQ26,73.34,2018-05-17 14:16:10
9ZU8C,EYZL4,20.30,2018-05-18 11:17:43
KMD2W,31J8U,31.68,2018-05-18 22:11:28
YSM72,VZQY9,33.88,2018-05-19 01:54:51
Y86VC,VR8X3,297.00,2018-05-19 05:29:44
3SDRH,LV1CZ,41.85,2018-05-20 15:29:13
IFH1O,D746A,109.19,2018-05-20 15:57:12
9N9ZZ,LZ2CV,27.27,2018-05-20 20:21:56
MTKPO,50M0F,82.15,2018-05-20 22:45:37
XW3N6,LN1G7,24.85,2018-05-21 00:03:23
PS63F,SW00U,19.80,2018-05-21 03:26:38
J79RC,3TIMJ,15.55,2018-05-21 08:19:57
QZP77,A63YO,96.21,2018-05-21 10:09:13
9LNGA,N0QM8,14.76,2018-05-21 14:13:14
7MVX1,ED8YQ,134.67,2018-05-21 18:50:23
CSW31,FI4V8,41.66,2018-05-22 01:23:12
3NRG2,TEVB3,14.11,2018-05-22 01:34:38
DM1R0,VCCED,31.74,2018-05-22 06:37:52
JVN1X,K43RY,19.47,2018-05-22 07:52:40
GIQUG,LKPIF,50.88,2018-05-22 21:30:59
15J08,K8GAH,2.23,2018-05-23 02:03:46
53FDO,0Z55U,28.30,2018-05-23 03:41:44
126DV,VRS9Q,38.72,2018-05-23 06:35:29
H2O2Z,U1P0A,4.95,2018-05-23 12:20:24
A91V1,15OTA,2.97,2018-05-23 22:57:07
E9T78,P3WYP,7.89,2018-05-24 00:09:12
4CD2W,3F0OQ,154.76,2018-05-24 05:48:05
RQCXT,IXHZG,76.92,2018-05-24 09:27:56
01DR9,A6ZLB,149.60,2018-05-24 11:12:25
4FEHS,M91Z9,521.28,2018-05-24 14:18:12
8CVTK,PWURB,43.82,2018-05-24 19:48:32
C5S06,JE2Z2,48.50,2018-05-24 19:49:13
U6FGU,ZQ84L,25.04,2018-05-24 23:45:24
25ZTM,WRVI7,41.34,2018-05-25 12:00:13
T6YDW,9YMXZ,7.04,2018-05-25 20:55:04
XVAT2,1X7MZ,99.30,2018-05-25 22:07:11
KYNVG,PP9MT,48.81,2018-05-26 08:37:32
O139N,YBII7,97.38,2018-05-26 09:20:20
NYAW7,5NRQS,40.23,2018-05-26 09:52:58
VM8U0,NY81A,0.99,2018-05-26 16:47:34
Y5S1L,J3C92,1.98,2018-05-27 00:13:24
MHXU7,JV3QT,104.94,2018-05-27 01:18:45
YQ9UC,V8KFY,10.76,2018-05-27 01:29:27
FGYNW,1VV9Z,46.04,2018-05-27 01:38:17
YVQRE,7JCCQ,5.86,2018-05-27 02:01:47
CRFG5,U2LUQ,38.70,2018-05-27 08:41:54
XQKMB,EOXPO,9.84,2018-05-27 14:12:43
3ROM7,TG5S9,21.15,2018-05-27 18:53:37
DSTK3,6IWHS,63.38,2018-05-27 21:24:06
W35U4,A010Z,10.52,2018-05-28 07:57:17
EFXQM,94CZ3,16.34,2018-05-28 15:14:49
DSV00,1AWTS,19.70,2018-05-28 21:24:30
KY3CK,6698U,73.17,2018-05-29 04:34:40
9TBC0,28RHI,27.32,2018-05-29 09:11:54
72AVO,VZB17,54.69,2018-05-29 19:51:35
1MQ2Y,APFUM,6.10,2018-05-30 07:51:36
225AC,ZJZC4,21.21,2018-05-30 20:25:40
T0EDD,96R51,96.79,2018-05-30 22:34:11
6GNWQ,OH46H,21.93,2018-05-31 01:40:27
9LNGA,YK883,37.71,2018-05-31 08:08:25
P7GTN,C5FD1,53.46,2018-05-31 09:05:22
TGF0O,S42WX,82.40,2018-05-31 12:59:52
BRX05,JJCXH,71.10,2018-05-31 13:52:00
NLXE6,T98F8,36.52,2018-06-01 02:08:51
TUKDI,F2N9X,193.08,2018-06-01 04:23:13
MXQDW,AAPXM,7.26,2018-06-01 11:06:35
VMSXU,PIP48,106.32,2018-06-01 18:05:19
FECS9,JK6TI,10.68,2018-06-02 05:47:26
6YGC3,KY5T8,105.48,2018-06-02 07:45:10
QJSUP,NYTOM,23.76,2018-06-02 14:15:16
HDIZT,T93QF,18.24,2018-06-02 14:50:16
4J8OR,660JL,12.08,2018-06-03 00:21:10
I4DG5,IN5K2,45.18,2018-06-03 01:54:39
PGK5E,JBRGM,10.28,2018-06-03 12:11:46
FUFJN,RU7HD,90.95,2018-06-03 16:10:26
JAWDY,EI9ZH,46.32,2018-06-03 19:16:41
WC9R5,ERS3C,27.73,2018-06-03 21:08:22
HZR9U,UJ9XB,6.93,2018-06-04 08:59:35
054AW,0YZXJ,4.95,2018-06-04 23:00:36
VDCQO,OCG8A,12.25,2018-06-05 07:50:49
12WMV,VMQ72,151.23,2018-06-05 10:27:39
WZNB4,KJW3O,273.47,2018-06-05 11:59:05
2IJQ0,1FMCW,28.20,2018-06-05 15:18:59
8GYT9,3W4G2,11.30,2018-06-05 18:25:43
4SEDM,1MK11,7.48,2018-06-05 23:13:41
X4ORP,1TO64,57.09,2018-06-06 04:39:04
N8L9L,92OMO,16.02,2018-06-06 07:26:42
IH0LN,RDDI0,227.95,2018-06-06 08:34:10
S6IZN,PSOU4,42.16,2018-06-07 03:32:48
0XPKD,ZEWDE,109.40,2018-06-07 03:37:03
IYPRV,IKGIM,7.83,2018-06-07 04:10:57
YGVB3,HO3ZQ,14.36,2018-06-07 05:15:51
9RV8N,TPLL2,165.44,2018-06-07 11:51:36
ARHUV,BS86S,14.68,2018-06-07 13:49:11
YTZHN,1T4W9,64.44,2018-06-07 18:41:26
113P1,2F78K,26.11,2018-06-07 19:21:58
P5BVW,NMH6I,23.88,2018-06-07 23:45:37
YGHX3,JPWG4,22.19,2018-06-08 17:17:40
19M5E,R9LJM,92.30,2018-06-08 19:35:08
V8GO4,YK1PE,41.26,2018-06-09 06:26:59
HMYF3,W7778,21.48,2018-06-09 09:32:19
SYJWV,96LGY,4.30,2018-06-09 15:11:32
FQ1XM,VWS0Y,35.58,2018-06-09 15:42:46
XW63S,36G0U,36.64,2018-06-10 04:16:59
PVYGF,6P542,48.70,2018-06-10 05:18:28
9S1EY,F8JNA,8.37,2018-06-10 06:28:05
0JPK8,8O8FK,9.90,2018-06-10 09:48:57
2DAER,KD626,43.43,2018-06-10 14:55:50
CZF44,BM5GQ,27.00,2018-06-10 17:13:20
H6WXQ,NN8S3,37.04,2018-06-10 22:20:52
3NNF7,EUGVO,2.40,2018-06-11 01:30:15
U8NCL,SKI93,38.13,2018-06-11 11:18:04
IE6W8,DIY7S,50.80,2018-06-11 20:34:53
391TA,AXVZD,32.13,2018-06-12 07:26:15
F36CZ,CFS25,92.73,2018-06-12 11:07:18
BTVTB,Y7TV9,13.68,2018-06-12 17:19:17
TWAG1,67F5D,19.36,2018-06-13 03:50:27
USOFP,86GUQ,40.20,2018-06-13 04:27:59
DB14H,N9NNS,145.80,2018-06-13 15:57:04
82B28,Y817H,9.60,2018-06-13 19:51:05
1MRW2,613GE,29.20,2018-06-14 02:42:53
IP4DN,RDIZU,42.84,2018-06-14 06:35:44
G2E3G,SX9L4,16.00,2018-06-14 19:33:25
5IIYT,KB5NF,11.36,2018-06-15 01:01:07
J00KC,PS07L,7.80,2018-06-15 04:37:35
971NU,23OWF,40.80,2018-06-15 07:09:59
VBHLB,ZCDLZ,30.08,2018-06-15 08:33:24
W56Q1,UZFLM,35.16,2018-06-15 09:23:59
O06WP,7MHSQ,10.08,2018-06-15 12:07:52
RQ6FT,8WJJ7,98.60,2018-06-15 17:42:50
V2M4M,80XDZ,12.34,2018-06-15 21:42:19
YSKJW,C2E9D,12.92,2018-06-15 22:04:18
M4G8S,KS8YI,61.02,2018-06-15 22:23:48
5M8DX,CKNCQ,141.78,2018-06-16 03:04:53
6MYJZ,J6BB2,5.58,2018-06-16 10:35:52
H2DH5,2FFCU,88.60,2018-06-16 14:27:21
4HBVA,1FP3J,51.24,2018-06-16 15:41:02
VCLAL,ASZYF,6.60,2018-06-17 03:48:10
H9N4P,7RF1Z,99.63,2018-06-17 04:42:36
BVUB2,2FC1P,56.91,2018-06-17 05:17:21
RA2FG,95LGV,8.34,2018-06-17 13:56:11
VI0E0,7DC1L,16.44,2018-06-17 14:50:48
P3583,GK47W,114.29,2018-06-17 15:37:43
R0ZS0,1KPEM,20.30,2018-06-18 01:36:41
LPO97,X5NBT,55.26,2018-06-18 06:21:09
H47J8,UBGFQ,45.12,2018-06-18 11:09:54
C4FE1,N2BX4,55.92,2018-06-18 14:48:15
2G17C,91MC3,42.51,2018-06-18 21:42:55
4VVR8,FP7AC,98.06,2018-06-18 23:03:34
G4EFF,LNPR9,216.91,2018-06-18 23:41:51
CFTUT,A4YEI,91.61,2018-06-19 00:32:48
EU4VM,4D7AP,149.58,2018-06-19 04:21:44
JZ15D,HAHI4,6.44,2018-06-19 05:17:53
T30QJ,FN7YC,106.61,2018-06-19 07:36:47
OH66E,6WAXM,12.84,2018-06-19 08:41:45
9ZU8C,YAPJU,1.98,2018-06-19 19:12:59
A4KEH,QLRLC,5.24,2018-06-19 20:19:00
DFFWR,P949R,272.30,2018-06-19 20:46:21
XW6IW,K2LG3,24.28,2018-06-19 23:29:07
SNZVZ,F2GQK,99.12,2018-06-20 02:35:41
96IS5,TF33V,66.90,2018-06-21 01:53:04
8Y0Q1,QTAA6,12.50,2018-06-21 05:18:26
PSNKL,K0ZXN,11.97,2018-06-21 06:07:11
UM2G2,XLD5I,219.00,2018-06-22 03:09:07
J6IND,JZ8G7,12.84,2018-06-22 10:20:07
W8RJG,IWJCZ,20.40,2018-06-22 15:53:35
KVCPU,ZWJJV,43.00,2018-06-22 18:43:21
BIWA5,D7JAD,18.12,2018-06-23 08:08:23
XIOBY,4MBIH,35.68,2018-06-23 10:11:23
JLKPB,I4YRU,13.75,2018-06-23 12:18:39
DZ509,A1XYL,92.01,2018-06-23 18:44:19
FIZ3O,PHMR5,41.34,2018-06-23 19:33:27
S9NAO,LXDSN,46.13,2018-06-23 21:25:19
QV3QW,NIH61,51.30,2018-06-24 00:41:29
LQ1WV,RVO6K,69.75,2018-06-24 09:46:17
SJ6B9,D9507,348.56,2018-06-24 13:01:35
YNKRV,V5BNG,83.20,2018-06-24 13:32:50
7B962,F2P6V,2.54,2018-06-24 15:24:31
NPL0G,S8QM6,62.44,2018-06-24 17:16:14
ZVUGI,1MO4P,17.70,2018-06-25 00:41:11
Z2TIS,719JR,134.16,2018-06-25 03:15:27
9298L,JUVML,41.56,2018-06-25 15:42:43
7L6YL,XUTMI,46.89,2018-06-25 18:21:12
6NIA4,KBNDW,39.87,2018-06-25 19:05:52
4RKFU,WQ7ER,32.72,2018-06-26 10:10:44
P0IBQ,1L4HM,25.15,2018-06-26 20:46:18
YMYIK,45IQD,6.14,2018-06-27 10:06:19
0AOUH,IK57V,93.36,2018-06-27 16:04:05
FG1B0,TI044,20.64,2018-06-27 17:01:12
CNPV2,IWJC7,19.88,2018-06-28 01:36:09
82QSD,F9PLV,43.55,2018-06-28 07:54:47
WJAE9,EHC9P,22.20,2018-06-28 18:15:15
ZP9PL,NJBK0,346.06,2018-06-29 04:50:42
SM366,TNEGZ,106.36,2018-06-29 08:20:07
WCDKV,1HJA8,30.24,2018-06-29 09:51:26
9DKN7,6D4SW,1.49,2018-06-29 11:58:14
TTGHF,2XUM7,74.96,2018-06-29 21:00:12
FB7NN,601EI,29.68,2018-06-29 22:49:44
1U95U,A3BRA,28.98,2018-06-29 23:17:32
SDJ8A,VLYX4,13.02,2018-06-30 00:51:58
DW2AJ,NTO5Z,9.24,2018-06-30 02:55:22
ZJ2MG,F8AUV,74.11,2018-06-30 04:50:15
GN9XI,F0M8F,4.65,2018-06-30 06:56:54
3089L,Q20KU,73.16,2018-06-30 07:04:37
VGUD2,YV4KJ,80.50,2018-06-30 11:25:00
